filename,inference_time_ms,psnr,rmse,mrae,ssim,spectral_fidelity,loss_mse_loss,loss_weighted_mse_loss,loss_spectral_smoothness_loss,loss_spatial_consistency_loss,loss_spectral_angle_loss,loss_spectral_tv_loss,loss_spectral_dict_loss,loss_ssim_loss
arranged_complex_grid_00912.npy,93.89424324035645,30.337929,0.0304161,10.768167,0.8464084106233217,0.9987587,0.0009251388255506754,0.0007601543329656124,0.0030265559908002615,0.002376246964558959,0.034722596406936646,0.03594250977039337,0.12507587671279907,0.10110348463058472
arranged_complex_grid_00913.npy,109.3747615814209,32.376854,0.02405234,16.19174,0.869784441065093,0.99896544,0.0005785158136859536,0.00045750278513878584,0.004862654022872448,0.00308136735111475,0.03208652883768082,0.03688601776957512,0.0853220596909523,0.08189982175827026
arranged_complex_grid_00914.npy,203.1261920928955,31.448877,0.026764316,4.460725,0.9289747890900305,0.99885786,0.0007163285627029836,0.0005856843199580908,0.006192769855260849,0.007516088895499706,0.04108491912484169,0.03767435997724533,0.08678165078163147,0.06303423643112183
arranged_complex_grid_00915.npy,62.502384185791016,31.572124,0.02638723,13.628589,0.9069115378399975,0.9986808,0.0006962858024053276,0.0005893298075534403,0.002974294824525714,0.0030107249040156603,0.03759413957595825,0.03602946549654007,0.06707113981246948,0.06553810834884644
arranged_complex_grid_00916.npy,62.51120567321777,30.44443,0.030045439,4.593287,0.9066285945440349,0.9988254,0.0009027286432683468,0.0007846404332667589,0.0037259412929415703,0.004418789409101009,0.0359821692109108,0.0364815853536129,0.09236230701208115,0.06788104772567749
arranged_complex_grid_00917.npy,125.35643577575684,30.77908,0.02890986,4.96035,0.9071929041708793,0.99902725,0.0008357806946150959,0.0007265555905178189,0.004747397731989622,0.005561821162700653,0.0318281352519989,0.037146251648664474,0.10620162636041641,0.06953638792037964
arranged_complex_grid_00918.npy,109.35354232788086,31.618807,0.026245788,4.562512,0.8455595693679373,0.9991145,0.0006888413336127996,0.000557841151021421,0.003574170172214508,0.0022580260410904884,0.03021514043211937,0.03600051626563072,0.12558938562870026,0.1011926531791687
arranged_complex_grid_00919.npy,203.12762260437012,30.41909,0.030133216,0.039714985,0.7432376732758567,0.9991541,0.0009080102317966521,0.0007273521041497588,0.006193892098963261,0.0025737471878528595,0.032337486743927,0.0381220318377018,0.18298320472240448,0.12561273574829102
arranged_complex_grid_00920.npy,108.95681381225586,32.14886,0.024692036,5.582737,0.9034921607301803,0.9991963,0.0006096968427300453,0.0005151510704308748,0.005572310648858547,0.004885589703917503,0.02970283478498459,0.0375668965280056,0.10010266304016113,0.07228010892868042
arranged_complex_grid_00921.npy,93.74785423278809,31.743109,0.025872864,10.352958,0.8604365274832452,0.9990534,0.0006694051553495228,0.00053911138093099,0.003904159413650632,0.0023810197599232197,0.030114296823740005,0.036518726497888565,0.118990957736969,0.09634536504745483
arranged_complex_grid_00922.npy,93.7490463256836,30.653633,0.02933042,13.240836,0.8580291602032998,0.99880964,0.0008602729649282992,0.0007147640571929514,0.005732561461627483,0.0039833467453718185,0.03714337199926376,0.03811104595661163,0.1134348213672638,0.08813971281051636
arranged_complex_grid_00923.npy,93.74880790710449,30.928043,0.028418278,12.186505,0.788626243345876,0.9989569,0.0008075986988842487,0.0005536951939575374,0.006352570373564959,0.0025183281395584345,0.03309296816587448,0.03807048872113228,0.169876828789711,0.13396215438842773
arranged_complex_grid_00924.npy,109.38382148742676,31.79515,0.025718309,0.035630506,0.7597232108323354,0.9993084,0.0006614313460886478,0.0005183503963053226,0.006189859006553888,0.002417871495708823,0.028889499604701996,0.037817247211933136,0.15782880783081055,0.11669355630874634
arranged_complex_grid_00925.npy,109.39741134643555,31.427391,0.026830602,5.529762,0.8839672195907043,0.9990514,0.0007198809762485325,0.0006020806031301618,0.006235397420823574,0.004743397701531649,0.03298143669962883,0.03802115097641945,0.11267418414354324,0.08046770095825195
arranged_complex_grid_00926.npy,93.74761581420898,31.831532,0.025610818,12.858865,0.9028673651143966,0.9990536,0.0006559137837029994,0.0005519562400877476,0.0043348390609025955,0.004276579711586237,0.02992383763194084,0.03662983328104019,0.08607250452041626,0.06935185194015503
arranged_complex_grid_00927.npy,93.76835823059082,29.800005,0.03235935,0.08867687,0.9311802590996417,0.99853605,0.0010471275309100747,0.0008802625816315413,0.003954393323510885,0.007188789546489716,0.048360586166381836,0.036477476358413696,0.07372616231441498,0.06322437524795532
arranged_complex_grid_00928.npy,77.79932022094727,31.937881,0.025299154,5.049564,0.8539331785119032,0.9991672,0.0006400467245839536,0.0005164501490071416,0.003996098414063454,0.0021048025228083134,0.02928900346159935,0.03633436560630798,0.1174406036734581,0.09774380922317505
arranged_complex_grid_00929.npy,93.75357627868652,31.906569,0.025390519,0.038662516,0.8904070518859338,0.99913716,0.00064467842457816,0.000545859569683671,0.0052868956699967384,0.0048318710178136826,0.03337959572672844,0.03739393875002861,0.1026775911450386,0.07309955358505249
arranged_complex_grid_00930.npy,109.37809944152832,30.509018,0.029822845,14.322144,0.9392602753845386,0.99834895,0.0008894025231711566,0.0007378542795777321,0.0024248792324215174,0.004448622930794954,0.04777856171131134,0.035618945956230164,0.04717424139380455,0.05187845230102539
arranged_complex_grid_00931.npy,203.20367813110352,31.450167,0.02676034,6.103075,0.849222472472024,0.9991754,0.0007161156390793622,0.0005855323979631066,0.005051694344729185,0.0028718961402773857,0.028904717415571213,0.03740072622895241,0.14121653139591217,0.1020548939704895
arranged_complex_grid_00932.npy,62.499284744262695,29.971603,0.031726323,0.039467603,0.7728752032779963,0.9989937,0.001006560050882399,0.0008460660465061665,0.005347601603716612,0.0029168203473091125,0.034061823040246964,0.03771292418241501,0.16822893917560577,0.1139490008354187
arranged_complex_grid_00933.npy,78.12714576721191,30.02536,0.031530585,0.040145453,0.7971035564769661,0.9988094,0.0009941778844222426,0.0008502500131726265,0.00360502814874053,0.002330280840396881,0.03711215779185295,0.03639945387840271,0.1337195634841919,0.09972220659255981
arranged_complex_grid_00934.npy,124.97520446777344,32.320435,0.024209084,11.267841,0.9052382271182178,0.9990525,0.0005860800156369805,0.0004914722521789372,0.004362748935818672,0.00398014672100544,0.030290646478533745,0.036838360130786896,0.08354034274816513,0.06780844926834106
